City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,La Asuncion,VE,76.08,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
358,Ixtapa,MX,71.6,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
362,Omboue,GA,78.85,overcast clouds,-1.5746,9.2618,Hotel Olako
363,Viru,PE,75.18,overcast clouds,-8.4167,-78.75,AYAR PORTENTOS DE MONTAÑA
364,Geraldton,AU,73.4,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
365,Laguna,US,62.6,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
366,Saint George,US,60.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
368,Maragogi,BR,77.99,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
369,Lata,PT,55.0,light rain,40.1629,-8.3327,Casa Maquia
370,Coruripe,BR,78.3,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
371,Santa Maria Del Oro,MX,65.8,overcast clouds,25.9333,-105.3667,Hotel Palacio Del Sol
373,Neuquen,AR,68.0,broken clouds,-38.9516,-68.0591,Hotel del Comahue
374,Road Town,VG,78.01,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
375,Kathu,TH,84.0,few clouds,7.9178,98.3332,Novotel Phuket Resort
377,Guararapes,BR,78.8,clear sky,-21.2608,-50.6428,Hotel Nacional Business
378,Sesheke,ZM,68.09,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
380,Itarema,BR,79.7,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
382,Flinders,AU,73.0,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
384,Waipawa,NZ,70.0,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
387,Malakal,SS,67.69,clear sky,9.5334,31.6605,Nile Palace Hotel
390,Cabedelo,BR,80.6,clear sky,-6.9811,-34.8339,Hotel Pigalle
392,Cordoba,AR,80.01,clear sky,-31.4135,-64.1811,Sheraton Cordoba Hotel
394,Marsa Matruh,EG,55.4,clear sky,31.3525,27.2453,Beau Site
396,San Quintin,MX,61.54,clear sky,30.4833,-115.95,Old Mill Hotel
397,Makueni,KE,66.33,overcast clouds,-1.8041,37.6203,WOTE TECHNICAL HOSTELS
398,Makakilo City,US,78.8,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
400,Antofagasta,CL,66.2,clear sky,-23.65,-70.4,Holiday Inn Express Antofagasta
401,Grand Gaube,MU,79.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
403,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
404,Paidha,UG,63.84,overcast clouds,2.4167,30.9855,OPIPAAF (OTHUMBA PITHUA PALWONGA )
407,Buala,SB,85.03,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
408,Namibe,AO,72.03,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
411,Ratnagiri,IN,73.89,overcast clouds,16.9833,73.3,Hotel Landmark
412,Sambava,MG,75.72,broken clouds,-14.2667,50.1667,Melrose
413,Lingao,CN,68.05,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
416,Batemans Bay,AU,68.0,few clouds,-35.7167,150.1833,Batemans Bay Marina Resort
419,Phan Thiet,VN,77.74,scattered clouds,10.9333,108.1,Hotel Saigon-PT
420,Kawalu,ID,77.54,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
421,Salalah,OM,69.8,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
425,Mandera,KE,76.35,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
430,Ngunguru,NZ,68.81,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
431,Encruzilhada,BR,68.67,moderate rain,-15.5314,-40.9094,Hotel e Restaurante Rio Pardo
432,Pobe,BJ,77.09,scattered clouds,6.9801,2.6649,Hôtel Étoile d'Or de Pobé
434,Mahibadhoo,MV,80.83,clear sky,3.7833,72.9667,Omadhoo Inn
435,Khorramshahr,IR,55.4,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
437,Valdivia,CL,60.8,clear sky,-39.8142,-73.2459,Hostal Entre Rios
442,Labuhan,ID,79.59,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
443,Chuy,UY,65.89,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
444,Villa Carlos Paz,AR,79.0,clear sky,-31.4241,-64.4978,Monte Carlo
445,Mecca,SA,70.2,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
447,Vinces,EC,82.4,heavy intensity rain,-1.55,-79.7333,Rizz hotel
450,Faanui,PF,81.79,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
456,Curup,ID,72.91,overcast clouds,-3.4667,102.5333,Ayi The Costel
457,Carutapera,BR,77.14,light rain,-1.195,-46.02,Lidera
459,Karonga,MW,73.45,light rain,-9.9333,33.9333,Sumuka Inn
460,Diffa,NE,64.8,clear sky,13.3154,12.6113,ProDAF/Diffa
463,Paranaiba,BR,71.17,clear sky,-19.6772,-51.1908,Villa Rica Park Hotel GMR
464,Popondetta,PG,82.26,overcast clouds,-8.7537,148.2534,Timos Transit House
465,Sabha,LY,67.03,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
466,Port Shepstone,ZA,74.43,overcast clouds,-30.7414,30.455,My Den Beachfront B&B And Self-Catering
467,Catia La Mar,VE,82.4,few clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
468,Pemangkat,ID,78.12,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
469,Weligama,LK,74.44,scattered clouds,5.9667,80.4167,Weligama Bay Resort
470,Qeshm,IR,62.6,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
471,Mega,ET,61.43,broken clouds,4.05,38.3,Amanuel Guest House
473,Mount Gambier,AU,60.8,overcast clouds,-37.8333,140.7667,Commodore on the Park
475,Vilhena,BR,69.82,overcast clouds,-12.7406,-60.1458,Hotel Mirage
476,Baculin,PH,79.16,heavy intensity rain,7.4525,126.5842,Shovy's Cove
477,Tinaquillo,VE,74.17,broken clouds,9.9186,-68.3047,Hotel Los Copihues
478,Pandan,PH,79.92,overcast clouds,14.0453,124.1694,Bonifacio Lodge
479,Rosarito,MX,64.0,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
480,Thabazimbi,ZA,66.99,broken clouds,-24.5917,27.4116,eagels rest
