City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Marystown,CA,47.1666,-55.1483,30.4,91,100,20.76,overcast clouds
303,Cizre,TR,37.3272,42.1903,48.81,51,58,1.88,broken clouds
304,Killybegs,IE,54.6333,-8.45,34.0,77,72,5.99,broken clouds
305,Nemuro,JP,43.3236,145.575,17.6,62,20,6.91,few clouds
306,Vanavara,RU,60.34,102.2797,26.29,97,100,11.1,overcast clouds
307,Cam Ranh,VN,11.9214,109.1591,78.8,69,20,10.36,few clouds
308,Harper,LR,4.375,-7.7169,79.2,89,0,6.55,clear sky
309,Barcelos,PT,41.5388,-8.6151,51.8,87,40,4.61,scattered clouds
310,Fuling,CN,29.7022,107.3919,52.59,69,100,1.99,overcast clouds
311,Benedita,PT,39.4247,-8.97,55.99,82,14,10.0,few clouds
312,Byron Bay,AU,-28.65,153.6167,80.6,61,40,19.57,scattered clouds
313,Myitkyina,MM,25.3833,97.4,56.84,60,77,2.04,broken clouds
314,Cidreira,BR,-30.1811,-50.2056,70.52,71,0,7.67,clear sky
315,Balclutha,NZ,-46.2339,169.75,64.99,83,100,7.0,light rain
316,Dingle,PH,10.9995,122.6711,76.05,92,100,11.32,heavy intensity rain
317,Trairi,BR,-3.2778,-39.2689,79.84,81,0,8.43,clear sky
318,Egvekinot,RU,66.3167,-179.1667,-12.1,88,6,15.61,clear sky
319,Mehran,IR,33.1222,46.1646,37.4,93,0,2.3,clear sky
320,Natal,BR,-5.795,-35.2094,80.6,83,40,10.36,scattered clouds
321,Sungaipenuh,ID,-2.0833,101.3833,70.54,74,62,2.24,moderate rain
322,Haines Junction,CA,60.7522,-137.5108,-16.6,69,0,1.14,clear sky
323,Gremyachinsk,RU,58.5603,57.851,-18.0,75,100,4.0,overcast clouds
324,Lichtenburg,ZA,-26.152,26.1597,60.12,92,0,5.88,clear sky
325,Yerofey Pavlovich,RU,53.9667,121.9667,-13.09,83,93,2.93,overcast clouds
326,Urucara,BR,-2.5364,-57.76,76.73,90,100,1.19,overcast clouds
327,Kitob,UZ,39.0843,66.8332,42.8,75,90,2.3,overcast clouds
328,Shirokiy,RU,49.758,129.523,-12.12,88,47,10.4,scattered clouds
329,Tulum,MX,20.2167,-87.4667,79.0,83,40,4.61,scattered clouds
330,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.28,95,100,7.2,overcast clouds
331,Kashmor,PK,28.4333,69.5833,54.3,40,0,3.76,clear sky
